50 1000
9 33 18
45 48 30
43 30 13
49 32 9
20 30 21
40 31 23
42 16 16
40 45 44
25 11 0
29 48 26
46 3 0
25 21 16
12 33 24
46 50 5
31 21 2
14 11 10
30 8 33
49 39 28
9 25 39
24 30 49
46 19 22
28 49 34
14 29 47
37 2 5
34 14 47
15 2 26
29 18 1
2 40 38
46 30 48
50 11 17
10 9 10
22 7 32
10 40 5
14 40 32
42 33 39
42 4 25
39 9 31
36 9 49
23 19 34
14 4 40
28 33 39
12 2 36
36 20 46
43 6 39
20 24 32
22 26 44
10 34 32
15 47 7
31 5 43
32 2 50
17 2 27
20 38 20
39 45 49
36 12 23
11 26 13
24 39 2
39 45 3
38 5 18
21 45 43
22 8 4
19 30 35
5 22 22
44 30 26
31 4 48
12 23 23
8 29 49
48 8 15
20 13 31
12 1 10
34 13 13
8 16 39
48 46 8
21 8 24
36 50 26
45 22 50
2 25 32
19 8 12
34 20 39
21 2 18
35 27 42
36 30 16
48 26 46
13 35 19
9 49 40
46 3 7
21 12 50
33 43 9
28 21 17
45 10 18
27 50 15
39 26 47
28 17 42
17 6 35
26 19 39
6 38 25
46 38 17
27 14 39
32 30 13
36 15 21
45 14 15
13 13 37
33 19 7
8 3 9
48 49 19
15 16 28
18 48 0
17 15 34
20 41 12
33 10 14
16 36 37
18 38 1
28 26 24
28 5 15
48 34 36
3 15 24
5 9 27
44 35 42
29 19 32
36 16 10
7 23 43
24 15 19
17 1 17
14 31 27
49 7 12
19 16 48
6 20 0
40 31 9
31 23 40
6 10 36
39 6 26
47 6 45
9 12 2
17 1 40
18 45 2
21 2 16
34 28 42
42 41 32
41 49 4
28 26 29
12 34 36
48 39 14
17 2 11
16 13 43
4 21 37
1 3 44
39 11 3
41 20 9
38 2 37
26 26 16
31 17 43
30 35 9
3 48 48
33 31 22
5 47 40
32 29 28
29 35 39
41 5 24
38 37 22
33 50 24
25 35 9
46 8 13
34 48 5
13 22 4
9 33 2
19 33 47
7 40 50
45 43 0
11 50 41
18 12 36
37 21 50
27 39 20
15 40 18
30 2 38
35 13 43
13 3 49
47 9 12
15 10 43
22 37 49
5 25 46
7 15 7
22 50 47
37 49 8
12 2 21
36 29 22
19 15 5
22 45 16
11 4 29
28 48 3
18 45 41
43 6 22
22 26 9
41 6 18
1 38 30
16 40 9
44 47 1
46 24 34
37 50 38
11 44 50
15 14 49
26 2 6
2 41 23
19 18 40
30 15 28
35 48 9
47 26 37
39 36 11
11 9 44
48 24 28
33 33 41
14 3 12
23 36 39
20 36 14
2 41 1
21 24 35
50 23 28
50 4 27
29 2 36
15 9 20
43 42 14
6 10 24
40 43 50
14 48 47
47 45 1
15 4 31
31 45 34
4 32 12
28 3 21
18 50 0
40 34 19
30 28 12
40 8 42
3 22 24
49 5 43
34 49 19
27 21 28
44 33 19
11 15 14
41 5 6
27 40 22
37 18 37
40 8 6
17 10 29
43 41 1
25 7 42
1 50 50
37 24 6
45 45 7
28 33 24
14 45 44
15 15 17
34 7 0
39 38 4
15 4 28
19 7 48
18 5 3
8 20 36
27 5 38
47 13 31
16 36 0
10 29 19
31 2 47
27 26 49
44 41 3
1 39 28
4 16 6
27 25 24
7 45 26
29 5 18
46 40 22
36 46 17
24 43 24
39 17 11
7 1 19
28 10 22
16 48 26
10 40 9
10 43 34
4 13 36
41 24 33
42 9 20
28 30 47
48 1 14
35 15 11
18 39 32
39 17 32
31 41 5
35 40 14
20 43 19
20 29 16
28 4 23
36 20 16
12 17 40
4 41 2
48 28 47
5 40 3
26 48 26
47 50 15
9 26 33
31 39 14
25 12 37
14 6 42
5 13 11
44 9 32
49 27 25
5 46 49
14 41 8
33 43 14
7 50 49
40 5 1
44 33 17
8 37 45
27 31 47
27 4 2
25 16 8
9 46 2
47 1 29
43 1 38
19 50 27
41 10 3
43 50 38
27 7 7
10 38 38
12 31 19
26 23 46
4 46 18
36 23 28
38 22 6
4 31 21
46 31 32
39 22 12
45 22 14
20 5 16
35 48 26
40 20 15
1 18 50
5 12 20
44 12 2
36 42 45
16 28 50
34 24 48
35 2 46
10 49 19
31 5 5
20 17 31
42 35 31
23 38 40
28 32 37
33 36 5
13 42 28
34 15 26
29 16 33
11 41 23
33 48 12
41 21 15
45 5 48
26 24 8
10 50 29
2 45 15
15 23 20
17 42 15
5 47 7
28 49 49
33 23 28
43 39 7
44 34 32
34 30 29
10 41 0
33 6 42
36 11 1
43 45 4
11 5 47
21 12 7
47 45 14
34 43 17
38 4 18
34 36 50
32 4 41
31 39 41
10 15 10
30 9 3
35 7 8
26 12 20
17 14 35
10 48 2
12 25 46
32 9 38
12 21 45
26 37 33
10 17 19
4 38 35
2 27 48
43 36 35
46 25 7
32 15 45
14 48 18
50 37 21
14 34 14
29 14 9
29 22 26
1 9 26
50 10 4
10 25 3
31 43 1
16 28 14
12 14 30
35 7 17
18 36 11
38 31 1
17 11 2
26 19 31
18 43 49
25 4 28
36 46 35
49 41 3
3 21 37
40 26 3
4 7 37
46 36 30
25 25 10
31 43 10
38 42 49
1 5 43
13 19 12
44 6 24
15 34 10
24 42 43
30 38 2
33 8 4
20 46 7
16 24 41
42 12 12
5 11 38
19 36 7
18 22 24
30 22 20
29 46 14
50 41 15
10 28 25
7 8 2
46 42 6
16 31 28
11 24 27
46 39 36
36 37 16
41 11 42
15 18 26
43 25 11
21 14 50
24 3 26
40 26 29
16 44 29
19 48 16
37 35 3
47 33 24
1 46 5
46 29 32
40 47 33
29 2 26
37 27 31
46 50 38
42 34 18
37 36 38
49 5 42
40 4 11
33 1 22
25 2 12
40 46 37
29 13 11
7 50 18
42 1 3
49 49 33
39 3 33
2 29 38
27 27 7
26 47 14
17 2 19
30 13 36
22 35 41
40 5 49
16 25 36
37 29 44
41 5 44
34 43 39
43 42 11
2 43 45
35 1 42
5 8 13
10 37 23
3 48 30
48 21 22
1 9 10
29 45 39
28 31 31
45 7 43
7 18 41
16 32 4
17 3 49
38 42 34
6 39 47
18 15 23
9 35 15
10 6 43
3 3 35
26 45 0
33 49 46
28 45 18
7 25 31
30 6 44
24 19 27
35 31 5
12 49 35
23 1 32
43 38 31
42 35 19
19 26 11
50 4 41
12 22 10
19 13 14
3 50 18
40 16 13
24 22 44
20 41 23
33 16 4
16 32 7
31 1 30
47 39 3
19 24 3
27 11 22
50 16 20
34 48 44
36 21 23
13 36 50
6 5 5
43 11 11
21 15 37
25 6 19
6 32 25
17 9 24
33 47 41
46 31 11
24 22 26
16 1 6
13 18 24
21 46 4
49 33 47
48 15 21
11 7 1
20 45 12
15 49 15
50 21 13
21 22 44
49 4 16
26 22 31
14 12 36
24 18 34
32 14 7
6 3 26
10 12 44
17 37 21
30 40 44
46 14 41
34 38 15
12 32 24
35 3 28
16 17 41
38 33 9
49 21 13
25 40 4
3 4 15
26 43 29
3 15 6
41 8 26
36 3 43
24 24 8
34 46 42
27 44 19
12 45 8
49 32 3
38 20 19
31 33 17
17 31 20
1 7 38
11 46 13
38 5 18
18 29 11
47 49 38
24 49 29
39 34 35
27 34 5
5 15 18
45 46 26
37 10 43
40 42 48
43 24 10
29 22 39
10 25 5
44 31 23
21 48 14
31 15 4
40 41 39
45 40 15
10 15 28
37 24 47
34 40 26
38 38 38
4 6 29
22 24 6
47 17 10
10 40 24
16 6 15
45 31 32
29 39 31
26 41 18
37 9 18
18 38 39
47 35 0
45 10 44
38 41 20
11 27 48
42 38 22
23 35 3
50 36 37
41 29 50
18 42 18
3 37 17
18 11 36
45 29 13
44 46 11
15 48 29
1 46 31
50 17 25
40 4 3
17 30 42
19 41 34
25 35 12
16 16 38
9 19 25
15 45 18
39 4 8
29 41 15
42 2 40
21 47 43
3 19 15
40 16 42
30 50 24
27 32 13
5 4 31
30 22 46
5 47 49
36 28 40
45 49 34
22 42 37
25 35 35
46 19 11
36 9 40
15 48 42
9 22 40
10 18 12
45 33 27
12 35 14
24 42 14
37 9 20
39 19 29
38 30 5
47 29 22
17 44 25
6 44 38
37 42 45
48 8 44
34 2 1
0 0
